2021-07-14 04:25:42.736 GMT [6212] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2021-07-12 07:12:43 GMT
2021-07-14 04:25:46.412 GMT [6212] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2021-07-14 04:25:46.470 GMT [6212] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/18B1B58
2021-07-14 04:25:46.470 GMT [6212] СООБЩЕНИЕ:  неверная длина записи по смещению 0/18B1C38: ожидалось 24, получено 0
2021-07-14 04:25:46.470 GMT [6212] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/18B1C00
2021-07-14 04:25:46.718 GMT [5544] СООБЩЕНИЕ:  система БД готова принимать подключения
2021-07-14 19:24:27.064 GMT [13468] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2021-07-14 19:42:37.758 GMT [7628] СООБЩЕНИЕ:  не удалось переименовать временный файл статистики из "pg_stat_tmp/global.tmp" в "pg_stat_tmp/global.stat": Permission denied
2021-07-14 19:44:32.546 GMT [1544] РћРЁРР‘РљРђ:  РЅРµС‚ РґРѕСЃС‚СѓРїР° Рє РѕС‚РЅРѕС€РµРЅРёСЋ requests
2021-07-14 19:44:32.546 GMT [1544] РћРџР•Р РђРўРћР :  SELECT t.*, CTID
	FROM public.requests t
	LIMIT 501
2021-07-14 21:15:04.124 GMT [12120] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2021-07-14 21:15:04.124 GMT [7512] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2021-07-14 21:15:04.125 GMT [15924] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2021-07-14 21:15:04.125 GMT [10388] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2021-07-14 21:15:48.897 GMT [7640] ОШИБКА:  выполнение оператора отменено по запросу пользователя
2021-07-14 21:15:48.856 GMT [5544] СООБЩЕНИЕ:  получен запрос на быстрое выключение
2021-07-14 21:15:49.240 GMT [5544] СООБЩЕНИЕ:  прерывание всех активных транзакций
2021-07-14 21:15:49.646 GMT [5544] СООБЩЕНИЕ:  рабочий процесс: logical replication launcher (PID 7640) завершился с кодом выхода 1
2021-07-14 21:15:49.660 GMT [7596] СООБЩЕНИЕ:  выключение
2021-07-14 21:15:50.602 GMT [5544] СООБЩЕНИЕ:  система БД выключена
