2021-07-02 10:56:58.285 GMT [7164] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2021-07-01 18:52:55 GMT
2021-07-02 10:57:00.669 GMT [7164] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2021-07-02 10:57:00.726 GMT [7164] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/1698678
2021-07-02 10:57:00.726 GMT [7164] СООБЩЕНИЕ:  неверная длина записи по смещению 0/1698758: ожидалось 24, получено 0
2021-07-02 10:57:00.726 GMT [7164] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/1698720
2021-07-02 10:57:01.027 GMT [6484] СООБЩЕНИЕ:  система БД готова принимать подключения
2021-07-03 06:26:02.881 GMT [19608] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2021-07-03 06:26:58.614 GMT [20016] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2021-07-03 06:49:45.432 GMT [20556] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2021-07-03 06:50:33.509 GMT [11140] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2021-07-03 07:29:39.300 GMT [20572] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2021-07-03 07:30:30.614 GMT [12160] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
